"UPDATED: APRIL 6, 2019",https://github.com/crypto-toolz/Top-Crypto-Resources,,,,,,,,,,,,,
URL,Name,RSS Feed,Titles,Factors: Title,Selection Diversity,Factors: Selection Diversity,Facts / Sources,Factors: Facts / Sources,Content Language,Factors: Content/Language,Ads/Paid/Sponsors,Factors: Ads/Promo Experience,Total (out of 5),Notes:
https://cointelegraph.com/,Coin Telegraph,https://cointelegraph.com/rss,1,"click bait, manipulated, poor choice, exaggerated",3,"unimportant selection, incentivized",2,"assumptions, theory, similar article linked",2,"ambiguous, negative unexpectancy, poor recommendations",2,"annoying, sneaky, subliminal",2,"The website has had backlash for being associated with exchanges and cryptocurrencies, with the intentions to use both resources for unethical self-good."
https://www.ccn.com/,CCN,https://www.ccn.com/feed,3,"poor choice, exaggerated",1,"bias, personal opinion, select agenda, sponsor/news mix up",2,"assumptions, preconceived, similar article linked",1,"negative unexpectancy, ambiguous, poor recommendations, fruitless",2,"annoying, poor visibility, subliminal",1.8,n/a
https://news.bitcoin.com/,Bitcoin.com,https://news.bitcoin.com/feed/,2,"click bait, poor choice, manipulated",1,"bias, agenda, incentivized, conflict of interest",2,"theory, similar article linked, poor choice of source",1,"poor recommendations, ambiguous, exaggeration, misleading",2,"annoying, sneaky, subliminal",1.6,"The owner and operator of the domain is a conflict of interest towards bitcoin. The website deceives users thinking that Bitcoin is BCH. This is not correct, Bitcoin is BTC and this behavior may cause a conflict of interest in the content you read. This website has also started to run an exchange, which may cause a conflict of interest."
https://cryptovest.com/,CryptoVest,https://cryptovest.com/feed/,4,irrelevent,3,"unimportant selection, personal opinions",1,"assumptions, theory, preconceived, similar article linked",3,"ambiguous, negative unexpectancy",3,"annoying, subliminal",2.8,n/a
https://www.coindesk.com/,CoinDesk,https://feeds.feedburner.com/CoinDesk,3,"poor choice, click bait",2,"bias, agenda, incentivized",2,"theory, similar article linked, poor choice of source",1,"poor recommendations, ambiguous, rumors, news/sponsor mixed",2,"annoying, subliminal, sneaky",2,There is backlash that this site is owned by The DCG (Digital Currency Group) and have a select agenda which may cause bias information in their content.
https://www.cryptoninjas.net/,Coin Ninja,https://www.cryptoninjas.net/feed/,4,poor choice,2,"unimportant selection, incentivized, sponsor/news mix up",3,"missing linked sources, linked sources not credible",3,"not enough detail, fuitless",2,"annoying, sneaky, subliminal",2.8,n/a
https://www.newsbtc.com/,News BTC,https://www.newsbtc.com/feed/,2,"poor choice, click bait, boring",4,unimportant selection,2,"assumptions, theory, preconceived, similar article linked",3,"poor recommendations, negative unexpectancy",2,"annoying, poor reading visibility, sneaky",2.6,n/a
https://ambcrypto.com/,AMB Crypto,https://ambcrypto.com/feed/,2,"boring, irrelevent, exaggerated",1,"bias, agenda, unimportant selection, poor selection",3,"missing linked sources, theory",2,"poor recommendations, ambiguous, unimportant detail",2,"annoying, sneaky, subliminal",2,n/a
https://bitcoinmagazine.com/,Bitcoin Magazine,https://bitcoinmagazine.com/feed/,3,"poor choice, irrelevant",3,"sponsor/news mix up, unimportant selection",3,"preconceived, theory",2,"ambiguous, fruitless, unimportant detail",4,annoying but simple,3,n/a
https://coinrivet.com/,Coin Rivet,https://coinrivet.com/feed/,3,"poor choice, irrelevant",3,"poor selection of experts, personal opinions",3,"assumptions, theory ",1,"not enough detail, ambiguous, fruitless, unimportant detail",4,annoying but simple,2.8,n/a
